game,date,numbers,bonus,gold_ball,scraped_at,source_block_index
Lotto Max,2011-10-14,"[1, 3, 7, 19, 31, 39, 49]",17,,2025-06-13T18:58:58.545916,107
Lotto Max,2011-10-21,"[6, 23, 27, 30, 34, 38, 45]",21,,2025-06-13T18:58:58.545916,108
Lotto Max,2011-10-28,"[2, 4, 18, 20, 29, 38, 41]",9,,2025-06-13T18:58:58.545916,109
Lotto Max,2011-11-04,"[5, 8, 13, 15, 27, 28, 37]",39,,2025-06-13T18:58:58.545916,110
Lotto Max,2011-11-11,"[5, 7, 9, 25, 31, 37, 39]",22,,2025-06-13T18:58:58.545916,111
Lotto Max,2011-11-18,"[8, 17, 27, 28, 39, 44, 49]",24,,2025-06-13T18:58:58.545916,112
Lotto Max,2011-11-25,"[8, 10, 15, 24, 30, 35, 49]",23,,2025-06-13T18:58:58.545916,113
Lotto Max,2011-12-02,"[23, 29, 33, 34, 39, 44, 48]",32,,2025-06-13T18:58:58.545916,114
Lotto Max,2011-12-09,"[3, 11, 18, 19, 23, 27, 44]",46,,2025-06-13T18:58:58.545916,115
Lotto Max,2011-12-16,"[11, 24, 26, 31, 42, 44, 46]",22,,2025-06-13T18:58:58.545916,116
Lotto Max,2011-12-23,"[3, 4, 9, 25, 26, 37, 39]",45,,2025-06-13T18:58:58.545916,117
Lotto Max,2011-12-30,"[2, 13, 22, 28, 35, 41, 42]",4,,2025-06-13T18:58:58.545916,118
Lotto Max,2012-01-06,"[1, 2, 8, 13, 22, 45, 46]",48,,2025-06-13T18:58:58.545916,119
Lotto Max,2012-01-13,"[6, 15, 18, 26, 41, 46, 48]",27,,2025-06-13T18:58:58.545916,120
Lotto Max,2012-01-20,"[9, 15, 21, 23, 41, 43, 44]",46,,2025-06-13T18:58:58.545916,121
Lotto Max,2012-01-27,"[8, 24, 28, 34, 37, 43, 45]",21,,2025-06-13T18:58:58.545916,122
Lotto Max,2012-02-03,"[2, 8, 12, 14, 33, 37, 47]",46,,2025-06-13T18:58:58.545916,123
Lotto Max,2012-02-10,"[1, 5, 25, 35, 38, 44, 47]",39,,2025-06-13T18:58:58.545916,124
Lotto Max,2012-02-17,"[1, 15, 26, 28, 31, 39, 49]",18,,2025-06-13T18:58:58.545916,125
Lotto Max,2012-02-24,"[6, 17, 23, 24, 25, 31, 38]",7,,2025-06-13T18:58:58.545916,126
Lotto Max,2012-03-02,"[4, 13, 14, 15, 34, 46, 47]",49,,2025-06-13T18:58:58.545916,127
Lotto Max,2012-03-09,"[7, 18, 19, 29, 39, 47, 48]",32,,2025-06-13T18:58:58.545916,128
Lotto Max,2012-03-16,"[5, 7, 18, 24, 28, 41, 49]",26,,2025-06-13T18:58:58.545916,129
Lotto Max,2012-03-23,"[6, 18, 21, 23, 24, 32, 48]",47,,2025-06-13T18:58:58.545916,130
Lotto Max,2012-03-30,"[3, 11, 12, 19, 35, 45, 47]",13,,2025-06-13T18:58:58.545916,131
Lotto Max,2012-04-06,"[15, 18, 19, 25, 32, 42, 49]",43,,2025-06-13T18:58:58.545916,132
Lotto Max,2012-04-13,"[2, 6, 11, 12, 16, 39, 45]",3,,2025-06-13T18:58:58.545916,133
Lotto Max,2012-04-20,"[14, 15, 16, 19, 30, 36, 46]",42,,2025-06-13T18:58:58.545916,134
Lotto Max,2012-04-27,"[3, 23, 28, 40, 42, 43, 45]",17,,2025-06-13T18:58:58.545916,135
Lotto Max,2012-05-04,"[3, 5, 6, 25, 37, 43, 45]",21,,2025-06-13T18:58:58.545916,136
Lotto Max,2012-05-11,"[1, 6, 7, 24, 31, 36, 39]",26,,2025-06-13T18:58:58.545916,137
Lotto Max,2012-05-18,"[3, 4, 13, 15, 21, 29, 48]",26,,2025-06-13T18:58:58.545916,138
Lotto Max,2012-05-25,"[1, 2, 3, 6, 12, 20, 41]",10,,2025-06-13T18:58:58.545916,139
Lotto Max,2012-06-01,"[4, 7, 13, 24, 26, 27, 43]",41,,2025-06-13T18:58:58.545916,140
Lotto Max,2012-06-08,"[9, 10, 16, 24, 26, 44, 48]",27,,2025-06-13T18:58:58.545916,141
Lotto Max,2012-06-15,"[8, 11, 20, 28, 36, 43, 47]",18,,2025-06-13T18:58:58.545916,142
Lotto Max,2012-06-22,"[1, 12, 20, 22, 30, 34, 38]",33,,2025-06-13T18:58:58.545916,143
Lotto Max,2012-06-29,"[10, 14, 20, 28, 35, 40, 42]",44,,2025-06-13T18:58:58.545916,144
Lotto Max,2012-07-06,"[14, 26, 31, 34, 37, 45, 48]",38,,2025-06-13T18:58:58.545916,145
Lotto Max,2012-07-13,"[3, 13, 14, 23, 33, 36, 45]",7,,2025-06-13T18:58:58.545916,146
